dataset,scenario,details,user,start,end
4.2,1,r4.2-1-AAM0658.csv,AAM0658,2010-10-23 01:34:19,2010-10-29 05:23:28
4.2,1,r4.2-1-AJR0932.csv,AJR0932,2010-09-10 19:12:01,2010-09-18 02:02:51
4.2,1,r4.2-1-BDV0168.csv,BDV0168,2010-07-30 19:56:44,2010-08-10 05:16:41
4.2,1,r4.2-1-BIH0745.csv,BIH0745,2010-07-13 20:15:23,2010-07-13 21:20:44
4.2,1,r4.2-1-BLS0678.csv,BLS0678,2010-09-21 01:16:22,2010-09-30 04:48:19
4.2,1,r4.2-1-BTL0226.csv,BTL0226,2010-10-06 22:25:52,2010-10-14 06:43:29
4.2,1,r4.2-1-CAH0936.csv,CAH0936,2010-08-11 04:00:08,2010-08-12 23:56:19
4.2,1,r4.2-1-DCH0843.csv,DCH0843,2011-02-04 07:08:00,2011-02-04 07:36:05
4.2,1,r4.2-1-EHB0824.csv,EHB0824,2010-07-22 21:48:43,2010-07-29 01:08:41
4.2,1,r4.2-1-EHD0584.csv,EHD0584,2010-10-02 03:46:16,2010-10-08 22:26:26
4.2,1,r4.2-1-FMG0527.csv,FMG0527,2011-01-05 21:53:29,2011-01-12 01:15:35
4.2,1,r4.2-1-FTM0406.csv,FTM0406,2010-11-25 06:35:11,2010-12-02 00:35:19
4.2,1,r4.2-1-GHL0460.csv,GHL0460,2010-11-09 06:28:40,2010-11-09 07:08:45
4.2,1,r4.2-1-HJB0742.csv,HJB0742,2010-11-19 05:53:16,2010-11-25 04:51:16
4.2,1,r4.2-1-JMB0308.csv,JMB0308,2010-07-14 00:56:15,2010-07-21 01:46:49
4.2,1,r4.2-1-JRG0207.csv,JRG0207,2011-01-19 20:25:05,2011-01-26 02:38:27
4.2,1,r4.2-1-KLH0596.csv,KLH0596,2011-02-12 07:11:50,2011-02-12 07:33:24
4.2,1,r4.2-1-KPC0073.csv,KPC0073,2010-07-07 20:05:29,2010-07-15 03:08:16
4.2,1,r4.2-1-LJR0523.csv,LJR0523,2010-07-31 07:43:15,2010-08-11 04:28:49
4.2,1,r4.2-1-LQC0479.csv,LQC0479,2010-09-14 19:46:17,2010-09-22 01:08:02
4.2,1,r4.2-1-MAR0955.csv,MAR0955,2011-02-08 05:55:53,2011-02-11 06:29:08
4.2,1,r4.2-1-MAS0025.csv,MAS0025,2010-09-29 01:39:20,2010-09-30 22:39:20
4.2,1,r4.2-1-MCF0600.csv,MCF0600,2010-09-20 23:52:19,2010-09-23 02:00:46
4.2,1,r4.2-1-MYD0978.csv,MYD0978,2010-12-13 20:30:07,2010-12-18 07:02:34
4.2,1,r4.2-1-PPF0435.csv,PPF0435,2011-02-09 03:00:27,2011-02-09 06:46:27
4.2,1,r4.2-1-RAB0589.csv,RAB0589,2010-09-13 23:18:53,2010-09-23 07:30:03
4.2,1,r4.2-1-RGG0064.csv,RGG0064,2010-10-20 20:12:23,2010-10-27 03:03:52
4.2,1,r4.2-1-RKD0604.csv,RKD0604,2010-07-13 20:04:53,2010-07-20 03:36:55
4.2,1,r4.2-1-TAP0551.csv,TAP0551,2010-10-23 02:55:51,2010-10-29 05:56:18
4.2,1,r4.2-1-WDD0366.csv,WDD0366,2011-02-24 19:49:41,2011-03-03 01:01:02
4.2,2,r4.2-2-AAF0535.csv,AAF0535,2010-06-28 08:51:08,2010-08-20 15:38:04
4.2,2,r4.2-2-ABC0174.csv,ABC0174,2010-10-27 14:11:03,2010-12-24 15:53:02
4.2,2,r4.2-2-AKR0057.csv,AKR0057,2010-10-04 08:48:26,2010-11-29 18:48:10
4.2,2,r4.2-2-CCL0068.csv,CCL0068,2010-12-27 09:20:16,2011-02-21 08:25:17
4.2,2,r4.2-2-CEJ0109.csv,CEJ0109,2011-02-07 11:16:58,2011-04-01 17:23:43
4.2,2,r4.2-2-CQW0652.csv,CQW0652,2011-02-18 09:22:22,2011-04-14 20:58:56
4.2,2,r4.2-2-DIB0285.csv,DIB0285,2010-07-26 16:23:45,2010-09-13 17:13:29
4.2,2,r4.2-2-DRR0162.csv,DRR0162,2010-11-11 07:01:17,2011-01-04 15:43:53
4.2,2,r4.2-2-EDB0714.csv,EDB0714,2010-10-18 10:58:12,2010-12-14 14:17:02
4.2,2,r4.2-2-EGD0132.csv,EGD0132,2010-08-02 10:01:20,2010-09-28 17:24:42
4.2,2,r4.2-2-FSC0601.csv,FSC0601,2011-01-18 08:42:08,2011-03-17 16:45:04
4.2,2,r4.2-2-HBO0413.csv,HBO0413,2011-02-14 08:15:24,2011-04-08 15:25:10
4.2,2,r4.2-2-HXL0968.csv,HXL0968,2010-08-31 07:51:41,2010-10-28 16:06:01
4.2,2,r4.2-2-IJM0776.csv,IJM0776,2010-07-06 08:33:06,2010-09-01 14:10:31
4.2,2,r4.2-2-IKR0401.csv,IKR0401,2010-12-27 08:57:14,2011-02-17 18:21:57
4.2,2,r4.2-2-IUB0565.csv,IUB0565,2010-10-06 09:20:43,2010-11-30 17:49:20
4.2,2,r4.2-2-JJM0203.csv,JJM0203,2010-09-02 07:40:34,2010-10-19 17:04:21
4.2,2,r4.2-2-KRL0501.csv,KRL0501,2010-11-22 09:38:30,2011-01-19 17:06:28
4.2,2,r4.2-2-LCC0819.csv,LCC0819,2010-06-16 11:39:58,2010-08-10 18:31:17
4.2,2,r4.2-2-MDH0580.csv,MDH0580,2011-01-04 09:13:35,2011-03-03 11:40:25
4.2,2,r4.2-2-MOS0047.csv,MOS0047,2010-07-15 07:23:37,2010-09-10 19:34:22
4.2,2,r4.2-2-NWT0098.csv,NWT0098,2011-02-07 16:40:17,2011-04-05 14:00:24
4.2,2,r4.2-2-PNL0301.csv,PNL0301,2010-06-14 09:25:31,2010-08-03 16:54:30
4.2,2,r4.2-2-PSF0133.csv,PSF0133,2010-08-02 10:46:58,2010-09-29 16:23:30
4.2,2,r4.2-2-RAR0725.csv,RAR0725,2010-07-06 08:07:33,2010-08-19 09:58:36
4.2,2,r4.2-2-RHL0992.csv,RHL0992,2010-07-13 09:46:08,2010-09-09 20:45:13
4.2,2,r4.2-2-RMW0542.csv,RMW0542,2010-06-21 09:04:43,2010-08-18 17:37:38
4.2,2,r4.2-2-TNM0961.csv,TNM0961,2010-10-15 07:04:48,2010-12-09 16:05:04
4.2,2,r4.2-2-VSS0154.csv,VSS0154,2010-09-07 09:49:28,2010-10-29 16:40:54
4.2,2,r4.2-2-XHW0498.csv,XHW0498,2010-08-09 12:48:49,2010-10-06 16:05:32
4.2,3,r4.2-3-BBS0039.csv,BBS0039,2010-08-12 10:24:05,2010-08-13 19:08:58
4.2,3,r4.2-3-BSS0369.csv,BSS0369,2010-09-30 13:31:56,2010-10-01 19:48:03
4.2,3,r4.2-3-CCA0046.csv,CCA0046,2010-10-14 08:23:18,2010-10-15 20:01:27
4.2,3,r4.2-3-CSC0217.csv,CSC0217,2010-06-10 07:54:10,2010-06-11 17:42:48
4.2,3,r4.2-3-GTD0219.csv,GTD0219,2010-06-17 09:06:37,2010-06-18 17:50:42
4.2,3,r4.2-3-JGT0221.csv,JGT0221,2010-07-15 09:43:23,2010-07-16 19:33:29
4.2,3,r4.2-3-JLM0364.csv,JLM0364,2011-04-28 09:50:07,2011-04-29 20:04:27
4.2,3,r4.2-3-JTM0223.csv,JTM0223,2010-07-22 07:27:46,2010-07-23 18:01:20
4.2,3,r4.2-3-MPM0220.csv,MPM0220,2010-11-04 08:59:55,2010-11-05 19:29:06
4.2,3,r4.2-3-MSO0222.csv,MSO0222,2010-12-09 08:36:36,2010-12-10 17:39:36
